Date,Asset_Name,Asset_Class,Transaction_Type,Exchange,Quantity,Price_Per_Unit,Total_Value,Realized_Profit
2023-03-30,TCS,Stock,Buy,NSE,196.0,4152.67,813923.32,0.0
2023-03-31,Ethereum,Cryptocurrency,Buy,Binance,1.8204,3699.1,6733.84,0.0
2023-04-01,Infosys,Stock,Buy,NSE,54.0,1341.17,72423.18,0.0
2023-04-01,ITC,Stock,Sell,NSE,29.0,418.95,12149.55,1874.37
2023-04-04,ITC,Stock,Buy,NSE,396.0,381.14,150931.44,0.0
2023-04-04,Tata Motors,Stock,Buy,NSE,490.0,837.3,410277.0,0.0
2023-04-05,HDFC Bank,Stock,Buy,NSE,118.0,1410.78,166472.04,0.0
2023-04-07,Ethereum,Cryptocurrency,Sell,Binance,0.1618,2068.78,334.73,21.06
2023-04-13,ATOM,Cryptocurrency,Buy,Binance,260.1,10.18,2647.82,0.0
2023-04-13,Reliance Industries,Stock,Sell,NSE,381.0,2834.95,1080115.95,-79995.89
2023-04-13,Infosys,Stock,Buy,NSE,482.0,1403.85,676655.7,0.0
2023-04-14,L&T,Stock,Sell,NSE,201.0,2232.08,448648.08,56904.31
2023-04-15,Ethereum,Cryptocurrency,Buy,Binance,1.4761,3593.67,5304.62,0.0
2023-04-16,L&T,Stock,Buy,NSE,46.0,2057.13,94627.98,0.0
2023-04-16,Reliance Industries,Stock,Sell,NSE,338.0,2639.07,892005.66,146495.76
2023-04-17,TCS,Stock,Buy,NSE,416.0,3788.26,1575916.16,0.0
2023-04-20,Reliance Industries,Stock,Sell,NSE,399.0,2614.75,1043285.25,-102577.72
2023-04-21,HDFC Bank,Stock,Sell,NSE,276.0,1606.31,443341.56,6249.19
2023-04-22,Bitcoin,Cryptocurrency,Buy,Binance,0.8471,31660.56,26819.66,0.0
2023-04-22,L&T,Stock,Sell,NSE,318.0,3439.93,1093897.74,321787.76
2023-04-25,Ethereum,Cryptocurrency,Buy,Binance,0.6602,1550.19,1023.44,0.0
2023-04-27,SBI,Stock,Sell,NSE,156.0,659.86,102938.16,-487.02
2023-04-28,Infosys,Stock,Buy,NSE,471.0,1574.07,741386.97,0.0
2023-04-29,L&T,Stock,Sell,NSE,449.0,3367.09,1511823.41,84133.9
2023-04-30,Infosys,Stock,Buy,NSE,107.0,1399.32,149727.24,0.0
2023-05-01,Tata Motors,Stock,Sell,NSE,269.0,513.02,138002.38,37400.15
2023-05-01,SBI,Stock,Buy,NSE,91.0,706.39,64281.49,0.0
2023-05-03,GOLDBEES,ETF,Sell,NSE,45.0,72.24,3250.8,349.24
2023-05-04,Reliance Industries,Stock,Buy,NSE,410.0,2831.2,1160792.0,0.0
2023-05-05,GOLDBEES,ETF,Buy,NSE,214.0,58.95,12615.3,0.0
2023-05-05,Ethereum,Cryptocurrency,Buy,Binance,0.8632,3980.87,3436.29,0.0
2023-05-08,ATOM,Cryptocurrency,Buy,Binance,139.62,11.94,1667.06,0.0
2023-05-11,NIFTYBEES,ETF,Buy,NSE,22.0,265.39,5838.58,0.0
2023-05-12,L&T,Stock,Sell,NSE,377.0,3581.32,1350157.64,288879.44
2023-05-12,ATOM,Cryptocurrency,Sell,Binance,204.6,13.42,2745.73,-257.35
2023-05-14,Bitcoin,Cryptocurrency,Buy,Binance,0.4886,46156.6,22552.11,0.0
2023-05-16,ATOM,Cryptocurrency,Buy,Binance,471.8,6.28,2962.9,0.0
2023-05-19,Ethereum,Cryptocurrency,Buy,Binance,2.027,3643.29,7384.95,0.0
2023-05-20,ITC,Stock,Buy,NSE,53.0,446.01,23638.53,0.0
2023-05-21,NIFTYBEES,ETF,Buy,NSE,350.0,241.52,84532.0,0.0
2023-05-21,Ethereum,Cryptocurrency,Buy,Binance,1.2723,2195.39,2793.19,0.0
2023-05-21,Solana,Cryptocurrency,Buy,Binance,319.02,112.9,36017.36,0.0
2023-05-21,NIFTYBEES,ETF,Buy,NSE,223.0,247.68,55232.64,0.0
2023-05-22,L&T,Stock,Sell,NSE,21.0,2103.73,44178.33,4464.08
2023-05-22,Tata Motors,Stock,Sell,NSE,351.0,952.11,334190.61,125548.34
2023-05-23,Reliance Industries,Stock,Buy,NSE,170.0,2338.33,397516.1,0.0
2023-05-23,SBI,Stock,Buy,NSE,95.0,603.08,57292.6,0.0
2023-05-23,Solana,Cryptocurrency,Sell,Binance,29.48,148.24,4370.12,1561.22
2023-05-24,Reliance Industries,Stock,Sell,NSE,387.0,3045.78,1178716.86,267950.57
2023-05-26,NIFTYBEES,ETF,Sell,NSE,397.0,248.32,98583.04,15113.5
2023-05-26,Bitcoin,Cryptocurrency,Sell,Binance,0.7461,47381.78,35351.55,12330.67
2023-05-26,HDFC Bank,Stock,Sell,NSE,461.0,1619.99,746815.39,155566.54
2023-05-27,Infosys,Stock,Buy,NSE,132.0,1432.61,189104.52,0.0
2023-05-27,ATOM,Cryptocurrency,Buy,Binance,250.79,7.88,1976.23,0.0
2023-05-29,Ethereum,Cryptocurrency,Sell,Binance,1.4169,2941.62,4167.98,1616.52
2023-05-30,GOLDBEES,ETF,Buy,NSE,174.0,66.99,11656.26,0.0
2023-05-31,SBI,Stock,Sell,NSE,344.0,668.68,230025.92,51057.14
2023-06-01,Solana,Cryptocurrency,Sell,Binance,487.74,89.26,43535.67,-612.15
2023-06-03,ITC,Stock,Sell,NSE,283.0,423.67,119898.61,4941.69
2023-06-03,GOLDBEES,ETF,Buy,NSE,448.0,74.64,33438.72,0.0
2023-06-04,TCS,Stock,Sell,NSE,12.0,3447.72,41372.64,14091.67
2023-06-04,L&T,Stock,Buy,NSE,158.0,3347.17,528852.86,0.0
2023-06-05,Ethereum,Cryptocurrency,Sell,Binance,0.7254,2158.37,1565.68,108.68
2023-06-08,SBI,Stock,Buy,NSE,89.0,548.64,48828.96,0.0
2023-06-11,GOLDBEES,ETF,Buy,NSE,496.0,69.8,34620.8,0.0
2023-06-11,Infosys,Stock,Sell,NSE,211.0,1654.78,349158.58,-26323.97
2023-06-13,HDFC Bank,Stock,Buy,NSE,21.0,1734.33,36420.93,0.0
2023-06-14,HDFC Bank,Stock,Buy,NSE,223.0,1616.15,360401.45,0.0
2023-06-14,Reliance Industries,Stock,Buy,NSE,25.0,2357.23,58930.75,0.0
2023-06-14,GOLDBEES,ETF,Buy,NSE,318.0,57.82,18386.76,0.0
2023-06-15,Tata Motors,Stock,Buy,NSE,431.0,496.75,214099.25,0.0
2023-06-16,ITC,Stock,Buy,NSE,15.0,445.31,6679.65,0.0
2023-06-17,Reliance Industries,Stock,Buy,NSE,432.0,2610.88,1127900.16,0.0
2023-06-17,Tata Motors,Stock,Sell,NSE,151.0,793.71,119850.21,28929.83
2023-06-21,Infosys,Stock,Sell,NSE,208.0,1795.9,373547.2,99077.62
2023-06-23,HDFC Bank,Stock,Buy,NSE,302.0,1388.84,419429.68,0.0
2023-06-24,Ethereum,Cryptocurrency,Sell,Binance,0.3141,2873.95,902.71,103.52
2023-06-25,Ethereum,Cryptocurrency,Sell,Binance,1.6282,2942.13,4790.38,700.07
2023-06-25,Infosys,Stock,Sell,NSE,455.0,1725.65,785170.75,127802.06
2023-06-27,GOLDBEES,ETF,Sell,NSE,363.0,55.26,20059.38,5289.81
2023-06-28,Bitcoin,Cryptocurrency,Buy,Binance,1.3658,41160.04,56216.38,0.0
2023-06-30,GOLDBEES,ETF,Buy,NSE,450.0,71.7,32265.0,0.0
2023-07-06,GOLDBEES,ETF,Buy,NSE,306.0,74.27,22726.62,0.0
2023-07-06,SBI,Stock,Buy,NSE,479.0,694.71,332766.09,0.0
2023-07-07,Solana,Cryptocurrency,Buy,Binance,279.54,182.45,51002.07,0.0
2023-07-09,Infosys,Stock,Buy,NSE,71.0,1400.73,99451.83,0.0
2023-07-09,L&T,Stock,Sell,NSE,235.0,3389.86,796617.1,80907.09
2023-07-10,Solana,Cryptocurrency,Sell,Binance,230.53,40.03,9228.12,-1268.76
2023-07-10,Ethereum,Cryptocurrency,Sell,Binance,0.7906,2359.06,1865.07,390.09
2023-07-11,Solana,Cryptocurrency,Buy,Binance,302.59,24.69,7470.95,0.0
2023-07-11,HDFC Bank,Stock,Buy,NSE,465.0,1578.78,734132.7,0.0
2023-07-11,Tata Motors,Stock,Sell,NSE,271.0,673.56,182534.76,32491.82
2023-07-13,Bitcoin,Cryptocurrency,Buy,Binance,0.835,60464.07,50487.5,0.0
2023-07-18,TCS,Stock,Buy,NSE,437.0,4102.54,1792809.98,0.0
2023-07-18,ATOM,Cryptocurrency,Buy,Binance,154.09,8.35,1286.65,0.0
2023-07-20,Bitcoin,Cryptocurrency,Sell,Binance,1.7369,36197.04,62870.64,2476.62
2023-07-21,Infosys,Stock,Sell,NSE,442.0,1327.03,586547.26,-39340.81
2023-07-23,Infosys,Stock,Sell,NSE,254.0,1353.7,343839.8,-7574.43
2023-07-24,HDFC Bank,Stock,Buy,NSE,132.0,1597.77,210905.64,0.0
2023-07-24,GOLDBEES,ETF,Sell,NSE,203.0,54.6,11083.8,1333.33
2023-07-25,TCS,Stock,Buy,NSE,438.0,3160.9,1384474.2,0.0
2023-07-25,Ethereum,Cryptocurrency,Sell,Binance,1.1783,2359.71,2780.45,-404.35
2023-07-26,Reliance Industries,Stock,Buy,NSE,500.0,3028.93,1514465.0,0.0
2023-07-28,TCS,Stock,Sell,NSE,481.0,3091.23,1486881.63,-77069.3
2023-07-29,Reliance Industries,Stock,Sell,NSE,174.0,2630.19,457653.06,162394.94
2023-07-29,SBI,Stock,Buy,NSE,283.0,847.93,239964.19,0.0
2023-07-30,SBI,Stock,Sell,NSE,101.0,717.96,72513.96,1911.04
2023-07-30,Infosys,Stock,Buy,NSE,32.0,1490.44,47694.08,0.0
2023-08-01,NIFTYBEES,ETF,Sell,NSE,191.0,275.04,52532.64,15965.77
2023-08-03,Infosys,Stock,Sell,NSE,296.0,1585.24,469231.04,166499.59
2023-08-05,GOLDBEES,ETF,Buy,NSE,256.0,71.72,18360.32,0.0
2023-08-06,Ethereum,Cryptocurrency,Buy,Binance,0.6677,3694.73,2466.97,0.0
2023-08-07,Infosys,Stock,Buy,NSE,398.0,1589.45,632601.1,0.0
2023-08-08,NIFTYBEES,ETF,Sell,NSE,63.0,251.59,15850.17,-1528.11
2023-08-10,Reliance Industries,Stock,Sell,NSE,252.0,2539.37,639921.24,175006.91
2023-08-10,L&T,Stock,Buy,NSE,385.0,2096.84,807283.4,0.0
2023-08-11,L&T,Stock,Buy,NSE,333.0,2432.63,810065.79,0.0
2023-08-12,SBI,Stock,Buy,NSE,446.0,550.13,245357.98,0.0
2023-08-13,ATOM,Cryptocurrency,Buy,Binance,483.16,10.7,5169.81,0.0
2023-08-17,Tata Motors,Stock,Sell,NSE,22.0,930.05,20461.1,3841.75
2023-08-17,NIFTYBEES,ETF,Buy,NSE,443.0,235.21,104198.03,0.0
2023-08-18,TCS,Stock,Buy,NSE,231.0,4169.06,963052.86,0.0
2023-08-18,Tata Motors,Stock,Buy,NSE,458.0,761.51,348771.58,0.0
2023-08-21,Reliance Industries,Stock,Sell,NSE,284.0,2390.69,678955.96,93557.57
2023-08-22,Ethereum,Cryptocurrency,Buy,Binance,0.1877,3439.13,645.52,0.0
2023-08-23,Infosys,Stock,Buy,NSE,146.0,1781.64,260119.44,0.0
2023-08-23,GOLDBEES,ETF,Sell,NSE,432.0,65.68,28373.76,5029.99
2023-08-23,Infosys,Stock,Buy,NSE,494.0,1701.47,840526.18,0.0
2023-08-24,ITC,Stock,Buy,NSE,253.0,376.27,95196.31,0.0
2023-08-25,Solana,Cryptocurrency,Buy,Binance,118.39,36.55,4327.15,0.0
2023-08-25,NIFTYBEES,ETF,Buy,NSE,191.0,251.67,48068.97,0.0
2023-08-25,Tata Motors,Stock,Buy,NSE,425.0,946.8,402390.0,0.0
2023-08-26,Solana,Cryptocurrency,Buy,Binance,30.18,74.86,2259.27,0.0
2023-08-29,GOLDBEES,ETF,Buy,NSE,77.0,65.58,5049.66,0.0
2023-08-31,ITC,Stock,Buy,NSE,116.0,462.28,53624.48,0.0
2023-09-02,Reliance Industries,Stock,Buy,NSE,310.0,2359.33,731392.3,0.0
2023-09-03,Infosys,Stock,Buy,NSE,188.0,1385.26,260428.88,0.0
2023-09-05,Ethereum,Cryptocurrency,Buy,Binance,2.4377,2690.39,6558.36,0.0
2023-09-05,Bitcoin,Cryptocurrency,Sell,Binance,0.6957,56921.57,39600.34,13563.74
2023-09-05,SBI,Stock,Sell,NSE,489.0,594.18,290554.02,75656.18
2023-09-06,SBI,Stock,Buy,NSE,184.0,559.24,102900.16,0.0
2023-09-06,NIFTYBEES,ETF,Buy,NSE,355.0,278.19,98757.45,0.0
2023-09-12,Reliance Industries,Stock,Buy,NSE,115.0,2270.14,261066.1,0.0
2023-09-13,L&T,Stock,Sell,NSE,96.0,2131.85,204657.6,58699.51
2023-09-13,Infosys,Stock,Sell,NSE,74.0,1450.88,107365.12,41520.6
2023-09-15,Ethereum,Cryptocurrency,Buy,Binance,2.0605,2184.94,4502.07,0.0
2023-09-16,Solana,Cryptocurrency,Sell,Binance,310.06,129.01,40000.84,7120.08
2023-09-16,Infosys,Stock,Sell,NSE,153.0,1391.2,212853.6,-19008.68
2023-09-16,Tata Motors,Stock,Buy,NSE,291.0,835.68,243182.88,0.0
2023-09-17,Infosys,Stock,Buy,NSE,139.0,1489.18,206996.02,0.0
2023-09-18,TCS,Stock,Buy,NSE,59.0,4113.66,242705.94,0.0
2023-09-19,ITC,Stock,Sell,NSE,357.0,435.09,155327.13,45411.12
2023-09-19,Tata Motors,Stock,Buy,NSE,292.0,856.47,250089.24,0.0
2023-09-20,ITC,Stock,Buy,NSE,330.0,415.67,137171.1,0.0
2023-09-25,Reliance Industries,Stock,Sell,NSE,471.0,2902.97,1367298.87,-71836.05
2023-09-26,HDFC Bank,Stock,Buy,NSE,230.0,1699.42,390866.6,0.0
2023-09-26,Reliance Industries,Stock,Sell,NSE,62.0,2718.42,168542.04,36988.43
2023-09-28,HDFC Bank,Stock,Buy,NSE,435.0,1680.44,730991.4,0.0
2023-09-29,Reliance Industries,Stock,Sell,NSE,450.0,2966.68,1335006.0,-78802.56
2023-10-01,HDFC Bank,Stock,Buy,NSE,96.0,1500.8,144076.8,0.0
2023-10-03,Bitcoin,Cryptocurrency,Buy,Binance,2.1124,61746.49,130433.29,0.0
2023-10-05,Bitcoin,Cryptocurrency,Buy,Binance,1.4021,33042.38,46328.72,0.0
2023-10-07,HDFC Bank,Stock,Buy,NSE,479.0,1506.09,721417.11,0.0
2023-10-11,ITC,Stock,Buy,NSE,129.0,403.42,52041.18,0.0
2023-10-11,SBI,Stock,Buy,NSE,54.0,743.76,40163.04,0.0
2023-10-13,NIFTYBEES,ETF,Sell,NSE,54.0,228.03,12313.62,-1672.75
2023-10-13,HDFC Bank,Stock,Buy,NSE,327.0,1536.62,502474.74,0.0
2023-10-15,Reliance Industries,Stock,Buy,NSE,86.0,2718.65,233803.9,0.0
2023-10-19,Tata Motors,Stock,Buy,NSE,476.0,407.85,194136.6,0.0
2023-10-20,Ethereum,Cryptocurrency,Buy,Binance,1.0747,2402.07,2581.5,0.0
2023-10-23,Bitcoin,Cryptocurrency,Buy,Binance,0.5642,67758.91,38229.58,0.0
2023-10-24,SBI,Stock,Sell,NSE,368.0,633.25,233036.0,-22189.21
2023-10-29,Reliance Industries,Stock,Buy,NSE,224.0,2484.7,556572.8,0.0
2023-10-30,Ethereum,Cryptocurrency,Sell,Binance,2.2313,3318.56,7404.7,2349.31
2023-10-31,SBI,Stock,Buy,NSE,360.0,676.36,243489.6,0.0
2023-11-01,Bitcoin,Cryptocurrency,Buy,Binance,0.9882,40380.38,39903.89,0.0
2023-11-02,L&T,Stock,Sell,NSE,285.0,3517.53,1002496.05,324196.35
2023-11-02,Tata Motors,Stock,Buy,NSE,353.0,683.7,241346.1,0.0
2023-11-02,Ethereum,Cryptocurrency,Sell,Binance,1.7563,2814.55,4943.19,-45.64
2023-11-05,Ethereum,Cryptocurrency,Sell,Binance,1.438,1607.86,2312.1,-141.91
2023-11-07,Tata Motors,Stock,Buy,NSE,111.0,799.6,88755.6,0.0
2023-11-08,NIFTYBEES,ETF,Buy,NSE,403.0,207.38,83574.14,0.0
2023-11-09,Bitcoin,Cryptocurrency,Sell,Binance,2.396,33101.69,79311.65,14248.07
2023-11-09,ITC,Stock,Buy,NSE,475.0,441.47,209698.25,0.0
2023-11-10,Bitcoin,Cryptocurrency,Buy,Binance,0.1066,56214.76,5992.49,0.0
2023-11-10,ITC,Stock,Sell,NSE,414.0,357.04,147814.56,12231.17
2023-11-10,Bitcoin,Cryptocurrency,Buy,Binance,2.3415,55918.06,130932.14,0.0
2023-11-12,L&T,Stock,Buy,NSE,347.0,3251.13,1128142.11,0.0
2023-11-13,Bitcoin,Cryptocurrency,Buy,Binance,2.1001,36275.25,76181.65,0.0
2023-11-13,Ethereum,Cryptocurrency,Sell,Binance,0.1747,3394.44,593.01,213.43
2023-11-14,Ethereum,Cryptocurrency,Buy,Binance,1.5608,2800.77,4371.44,0.0
2023-11-15,SBI,Stock,Buy,NSE,94.0,689.74,64835.56,0.0
2023-11-15,Infosys,Stock,Sell,NSE,429.0,1470.68,630921.72,125246.57
2023-11-17,GOLDBEES,ETF,Sell,NSE,145.0,68.31,9904.95,3241.04
2023-11-18,HDFC Bank,Stock,Sell,NSE,188.0,1610.16,302710.08,75199.1
2023-11-19,Solana,Cryptocurrency,Sell,Binance,453.34,150.24,68109.8,13920.64
2023-11-20,Tata Motors,Stock,Sell,NSE,233.0,913.95,212950.35,5075.42
2023-11-20,SBI,Stock,Buy,NSE,405.0,705.65,285788.25,0.0
2023-11-21,ATOM,Cryptocurrency,Sell,Binance,410.9,6.4,2629.76,-105.65
2023-11-22,TCS,Stock,Buy,NSE,365.0,3388.89,1236944.85,0.0
2023-11-23,ATOM,Cryptocurrency,Buy,Binance,23.82,14.23,338.96,0.0
2023-11-23,NIFTYBEES,ETF,Buy,NSE,287.0,211.27,60634.49,0.0
2023-11-24,NIFTYBEES,ETF,Sell,NSE,125.0,237.27,29658.75,3320.13
2023-11-26,Tata Motors,Stock,Sell,NSE,375.0,840.56,315210.0,9008.9
2023-11-27,Solana,Cryptocurrency,Sell,Binance,60.74,166.74,10127.79,2143.42
2023-11-27,HDFC Bank,Stock,Sell,NSE,30.0,1610.73,48321.9,12571.54
2023-11-29,Reliance Industries,Stock,Buy,NSE,282.0,2383.6,672175.2,0.0
2023-11-30,Infosys,Stock,Buy,NSE,168.0,1473.41,247532.88,0.0
2023-12-01,HDFC Bank,Stock,Sell,NSE,380.0,1473.67,559994.6,45252.76
2023-12-02,TCS,Stock,Sell,NSE,280.0,3309.23,926584.4,275409.65
2023-12-04,Tata Motors,Stock,Sell,NSE,369.0,473.9,174869.1,36337.31
2023-12-05,Reliance Industries,Stock,Buy,NSE,272.0,2206.4,600140.8,0.0
2023-12-05,Solana,Cryptocurrency,Buy,Binance,436.54,51.97,22686.98,0.0
2023-12-06,SBI,Stock,Buy,NSE,189.0,723.62,136764.18,0.0
2023-12-07,ITC,Stock,Sell,NSE,73.0,439.28,32067.44,1234.69
2023-12-10,Reliance Industries,Stock,Buy,NSE,64.0,2505.97,160382.08,0.0
2023-12-14,Solana,Cryptocurrency,Buy,Binance,132.84,140.9,18717.16,0.0
2023-12-17,NIFTYBEES,ETF,Buy,NSE,184.0,249.32,45874.88,0.0
2023-12-22,Bitcoin,Cryptocurrency,Buy,Binance,1.0994,46838.6,51494.36,0.0
2023-12-23,HDFC Bank,Stock,Sell,NSE,278.0,1513.29,420694.62,-12231.21
2023-12-25,SBI,Stock,Sell,NSE,189.0,760.6,143753.4,54469.38
2023-12-27,Ethereum,Cryptocurrency,Sell,Binance,1.1855,3996.82,4738.23,1309.45
2023-12-27,SBI,Stock,Sell,NSE,356.0,637.8,227056.8,62837.33
2023-12-29,ATOM,Cryptocurrency,Sell,Binance,408.87,6.29,2571.79,-240.81
2024-01-01,ATOM,Cryptocurrency,Sell,Binance,153.85,8.98,1381.57,514.87
2024-01-01,Solana,Cryptocurrency,Sell,Binance,59.49,121.28,7214.95,53.04
2024-01-03,Reliance Industries,Stock,Buy,NSE,412.0,2659.83,1095849.96,0.0
2024-01-03,GOLDBEES,ETF,Buy,NSE,101.0,63.71,6434.71,0.0
2024-01-07,GOLDBEES,ETF,Buy,NSE,443.0,55.55,24608.65,0.0
2024-01-08,HDFC Bank,Stock,Buy,NSE,401.0,1559.94,625535.94,0.0
2024-01-08,L&T,Stock,Buy,NSE,269.0,3528.9,949274.1,0.0
2024-01-11,TCS,Stock,Buy,NSE,71.0,3935.7,279434.7,0.0
2024-01-13,HDFC Bank,Stock,Sell,NSE,242.0,1749.08,423277.36,98756.59
2024-01-15,Reliance Industries,Stock,Sell,NSE,293.0,2772.27,812275.11,72485.44
2024-01-16,Bitcoin,Cryptocurrency,Buy,Binance,0.9069,63351.19,57453.19,0.0
2024-01-20,Ethereum,Cryptocurrency,Buy,Binance,1.8658,2689.64,5018.33,0.0
2024-01-22,HDFC Bank,Stock,Buy,NSE,225.0,1709.3,384592.5,0.0
2024-01-24,L&T,Stock,Sell,NSE,219.0,3261.31,714226.89,219166.95
2024-01-25,ATOM,Cryptocurrency,Sell,Binance,96.64,11.68,1128.76,224.59
2024-01-25,NIFTYBEES,ETF,Buy,NSE,156.0,228.68,35674.08,0.0
2024-01-25,Infosys,Stock,Buy,NSE,220.0,1735.72,381858.4,0.0
2024-01-26,HDFC Bank,Stock,Buy,NSE,50.0,1568.7,78435.0,0.0
2024-01-27,ITC,Stock,Buy,NSE,106.0,475.21,50372.26,0.0
2024-01-28,Tata Motors,Stock,Buy,NSE,175.0,448.49,78485.75,0.0
2024-01-28,GOLDBEES,ETF,Buy,NSE,278.0,65.99,18345.22,0.0
2024-01-28,Solana,Cryptocurrency,Sell,Binance,346.08,72.17,24976.59,4585.98
2024-01-29,ITC,Stock,Sell,NSE,162.0,372.8,60393.6,15321.69
2024-01-30,Solana,Cryptocurrency,Sell,Binance,143.48,117.31,16831.64,1593.36
